StockCode,Price
72801E,1.25
21034,0.95
85049D,1.25
21985,0.29
21980,0.29
16235,0.21
84347,2.55
84990,0.55
85231E,0.85
85231B,0.85
72008,0.42
22071,3.75
22070,3.75
20892,12.75
84270,0.21
85049C,1.25
84352,16.95
79067,3.75
22203,3.75
21353,7.95
21540,4.25
21538,3.75
21534,4.95
85053,2.1
22118,4.95
21375,5.45
22109,3.75
22186,2.95
47504K,1.95
47504F,1.65
21809,1.25
21186,1.65
21611,2.95
21480,2.95
85170A,2.1
85033S,1.95
35991,1.69
22185,1.65
21786,0.42
84388,1.65
21918,0.42
51012C,1.25
84671B,2.55
21747,1.25
22330,1.45
84375,1.95
84952B,3.75
20961,1.25
20960,1.25
20966,1.25
17164D,0.42
21890,2.95
85170D,2.1
17091J,1.25
20975,0.65
21440,1.25
22174,1.65
22150,1.95
22147,1.45
21356,1.25
21357,1.25
21677,0.85
21680,0.85
21730,4.95
70007,1.65
70006,1.65
21650,0.65
21892,1.25
85227,0.85
20655,1.25
21990,2.95
21934,1.65
21578,2.25
21579,2.25
21577,2.25
20713,1.95
20712,1.95
16047,0.85
21561,2.55
20814,1.25
22068,1.65
21377,1.65
21379,1.25
20956,1.25
21018,0.85
35995,2.1
22355,0.85
21581,2.25
20727,1.65
21071,1.25
21068,1.25
22189,3.95
48179,6.75
48188,6.75
48184,6.75
21777,7.95
20969,3.75
20968,3.75
21737,19.95
84899F,1.25
84898F,2.1
22207,4.25
21016,0.85
20829,2.1
85231G,0.85
21407,4.25
21410,4.25
72800F,2.55
21411,4.25
21993,2.95
21486,3.75
21813,4.95
21812,4.95
21488,3.95
84029E,3.75
75013B,1.65
72800E,2.55
72801G,1.25
72801F,1.25
21732,3.39
21754,5.45
22083,2.55
22086,2.55
85041,1.45
85040B,1.45
79323P,5.45
48184,5.95
37461,0.85
22139,4.25
21700,0.85
21673,1.06
21671,1.06
21669,1.06
21500,0.34
20692,3.75
20685,5.95
16237,0.21
37410,0.85
84251F,0.19
21080,0.85
21967,0.29
22110,3.45
84977,1.25
18010,0.42
22152,0.42
72267,2.1
22081,1.65
22079,1.65
20758,0.85
20756,0.85
21126,1.25
21125,1.25
22102,1.65
35955,0.42
35954,0.42
35957,0.42
84050,1.65
47568,2.1
84782A,12.75
84782C,12.75
22169,8.5
84933A,2.1
84933B,2.1
22201,4.25
37503,10.75
21593,1.25
22085,2.95
85099C,1.95
22356,0.72
22348,0.85
85061W,0.64
21781,14.95
20692,4.25
20768,2.55
21082,0.85
47591D,1.95
47591B,1.65
22196,0.85
84968C,12.75
84968F,12.75
84968B,12.75
85231L,0.85
21618,3.75
21615,3.75
21619,3.75
21612,2.95
85049B,1.25
85049G,1.25
21770,4.95
37500,9.95
21637,1.25
21901,0.65
21900,0.65
21902,0.65
21223,1.25
85049H,1.25
21576,2.25
21580,2.25
20866,1.25
20867,1.25
20979,1.25
20983,0.85
20981,0.85
20977,1.25
20974,0.65
21114,1.25
85232A,4.95
35971,1.25
21740,2.95
21624,5.95
21738,2.95
22280,2.1
21841,4.25
21621,8.5
21622,4.95
20750,7.95
82482,2.55
20665,2.95
84837,12.75
21439,1.25
16169D,0.42
16169C,0.42
21017,0.72
21210,1.45
21039,2.55
21432,5.95
21424,2.95
21426,2.1
84946,1.06
21891,1.25
21098,1.25
22415,7.95
17164D,0.37
17165D,0.85
17165B,0.85
85208,2.1
90090,0.85
90092,0.85
16161C,0.1
35160,0.85
17108D,0.42
21805,0.42
90125A,2.1
84578,3.75
84901,3.75
35931,0.38
35933,0.38
90087,0.85
90085,0.85
90093,0.85
90084,0.85
90088,0.85
35955,0.19
35957,0.19
21807,0.42
21806,0.42
21815,1.45
21816,1.45
35051B,0.42
22153,0.42
20943,1.25
72816,1.25
85038,2.1
20978,1.25
20942,1.25
84559A,0.85
84466,1.25
20994,0.85
20992,0.85
84670,0.42
84077,0.21
84029C,3.75
22336,0.65
22156,0.85
22338,0.65
21825,1.45
21822,1.95
22277,2.1
35979,2.95
47566,4.65
21344,9.95
21477,12.75
85047,6.35
20681,3.25
84648,12.75
84472,45.95
84910A,5.95
84656,5.95
84580,3.75
84622,5.95
22151,0.42
35962,2.1
22337,0.65
90125C,2.1
90125D,2.1
90214H,1.25
20901,6.35
22172,8.5
85067,18.95
21156,1.95
72127,1.25
84992,0.55
84929,0.55
21649,2.95
21463,5.95
85162A,9.95
21761,29.95
84839,6.75
85064,5.45
84706C,8.95
21804,3.75
85036C,4.25
22162,2.95
22297,1.25
85104,2.95
84813,12.75
20894,2.95
72799D,2.95
21741,2.95
85071D,2.55
21724,0.85
48173C,6.75
21524,6.75
48197,6.75
84684,2.55
20812,2.55
22035,0.42
21508,0.42
22027,0.42
85059,3.75
21465,3.75
21466,3.75
21467,3.75
21471,3.75
21314,2.1
84975,1.69
21949,1.25
21947,1.25
21528,6.95
21548,2.95
21684,0.85
21549,2.95
21545,2.95
21547,2.95
85054,2.95
21532,2.1
21530,2.95
37444A,2.95
37444B,2.95
22042,0.42
84247C,2.95
22034,0.42
84754,1.25
21313,0.85
84509A,3.75
84510A,1.25
84340,2.55
21625,6.95
18096C,2.55
85147,4.95
37444C,2.95
85055,3.75
85028L,7.95
85028S,4.95
21214,1.45
84985B,1.45
84985A,1.45
47021G,1.25
21911,1.65
21070,1.25
21066,1.25
21067,1.25
21069,1.25
21986,0.29
22325,4.95
20940,2.95
72798C,1.65
40018F,1.95
40018E,1.95
85176,0.85
21893,4.25
21745,3.75
17084J,0.21
71279,2.95
21417,2.1
22088,2.95
22093,1.25
84288B,1.95
35924,2.1
20941,1.25
21553,5.95
21554,5.95
22215,8.5
20804,1.65
21260,3.25
21015,0.85
21014,0.85
21917,0.42
22069,1.65
47591C,1.95
21743,2.95
21744,2.95
85048,7.95
21385,0.85
85099F,1.95
35001G,4.25
84855,4.95
84854,4.95
21216,4.95
21243,1.69
21155,2.1
21412,2.1
72799F,2.95
72799E,2.95
72799C,2.95
21499,0.42
21246,4.95
21247,1.49
85136C,7.95
21218,3.75
21975,0.55
21213,0.55
72756,1.25
72799B,2.95
84970L,0.95
21768,14.95
84984D,4.25
84773,2.95
84601A,2.95
85174,4.95
71028B,1.65
84755,0.65
72140F,0.42
84950,0.85
85175,0.42
72487,0.38
84360,4.65
21335,21.95
35001W,2.95
84396,1.95
35001G,3.39
72753A,2.1
72750C,1.95
85211,1.65
84341B,0.85
22211,1.65
22283,7.95
22187,4.25
35001W,3.49
21735,12.75
22120,9.95
48189,6.75
48116,6.75
21257,7.95
21767,29.95
85068,7.95
22171,8.5
72349B,2.1
84596K,1.25
84596E,1.25
84596G,1.25
37448,1.49
22131,1.95
37447,1.49
22055,1.65
22062,2.95
84596B,1.25
22347,1.25
84507C,2.55
84508A,2.55
79302M,2.95
37502,2.95
37449,9.95
84534B,0.85
84535B,0.65
84536B,0.42
85090,4.65
21121,1.25
90167,0.85
21543,0.85
21642,0.85
72023F,1.25
20886,1.95
85172,0.42
21469,3.75
21897,2.95
21898,2.95
20771,2.55
72815,3.75
47504G,1.25
84986B,1.45
20750,6.35
20684,3.25
85006,2.95
85199S,0.42
85199L,0.65
21556,2.55
82081,8.5
21164,2.95
20725,1.45
21843,10.95
21430,3.39
21428,3.75
47504E,1.25
84934,0.85
21165,1.69
21877,1.25
21398,2.1
16161U,0.42
21497,0.42
22051,0.42
22117,2.95
22116,2.95
21042,5.95
22165,12.75
46000P,4.25
46000M,1.55
21685,14.95
84658,6.95
20887,3.45
21692,3.75
21691,3.75
21814,1.45
47570B,10.65
21541,0.85
51014C,0.85
20659,1.25
20658,1.25
21355,1.25
84378,1.25
84380,1.25
72807B,4.25
72814,3.75
85125,4.95
85126,6.75
72529W,2.12
21795,12.75
21796,12.75
15036,0.65
21742,5.95
21221,1.25
84559B,0.85
84559D,0.85
15056P,5.95
84199,0.21
17165B,1.05
17165D,1.05
17003,0.21
15034,0.14
16238,0.21
35085E,1.25
10120,0.21
17164B,0.42
84006,0.85
20723,0.85
37446,1.45
21212,0.42
47556B,2.95
22189,3.39
84750A,1.95
84987,1.45
85008,4.95
85184C,2.95
84709B,5.95
35095A,0.42
82583,2.1
82578,0.55
82581,0.55
20830,2.1
35095B,0.42
20831,2.1
84533B,5.95
22173,2.95
84792,4.65
21272,1.25
84406B,3.25
22214,2.55
21349,6.75
21108,2.55
21112,2.95
21111,2.95
85041,1.65
85034A,4.25
72807A,4.25
21640,0.85
20716,1.25
20730,1.25
20729,1.25
22167,9.95
37343,1.65
22231,1.45
10125,0.85
21025,1.25
21031,1.25
21589,2.55
20770,2.55
22023,0.42
79323W,5.45
21839,5.45
20776,1.65
20679,5.95
22193,8.5
22191,8.5
22192,8.5
82597,2.1
40016,0.42
15044B,2.95
15044D,2.95
84814B,1.95
79323GR,6.75
79323B,6.75
79323G,6.75
84358,8.49
22101,1.85
20870,1.25
84920,3.75
21811,1.25
16156S,0.42
20765,2.95
21137,3.39
22246,1.95
22187,3.75
21490,1.65
21877,1.06
22114,3.45
51008,3.45
21484,2.95
21975,0.42
21977,0.42
84992,0.42
21543,0.65
21541,0.65
21396,1.25
20913,2.95
21107,2.95
79072,9.95
84510B,1.25
84509B,3.75
21658,3.95
22339,0.65
21810,1.25
85112,1.25
79534,0.55
35594,0.42
21842,2.1
15056BL,4.6
21864,1.69
84050,1.25
20971,1.06
82615,2.55
20679,4.6
21354,1.05
22095,1.25
72023F,0.85
85038,1.69
20934,4.95
21107,2.55
85099B,1.65
20727,1.45
21610,2.55
85174,4.25
72802A,3.81
35004C,4.65
85220,1.45
21341,4.25
21323,3.75
21504,0.42
21340,12.75
21347,5.95
84947,1.25
22184,8.5
71459,0.85
84371,19.95
21734,3.75
22181,0.85
22134,0.42
21448,1.65
22322,0.85
84795C,7.95
21304,12.75
21259,5.95
21258,12.75
21752,14.95
35649,3.35
35646,4.25
35651,7.95
35648,2.95
85226C,0.55
16212,0.65
35096A,0.42
82582,1.69
84536A,0.42
47503K,1.95
85034A,3.81
85222,2.1
85230F,0.29
21154,1.25
21255,1.65
21286,2.55
21359,15.95
21398,1.75
21529,3.45
79323LP,5.45
85031B,1.25
22216,0.85
22224,2.95
85132C,9.95
21746,1.25
85065,9.95
20963,1.25
22197,0.72
21238,0.72
21241,0.72
20677,1.06
20675,1.06
20674,1.06
21094,0.64
20979,1.06
21703,0.36
21205,2.1
84692,0.42
21477,10.95
21931,1.65
85099F,1.65
22145,1.85
21485,4.25
84077,0.18
21098,1.06
21231,1.06
21232,1.06
22049,0.42
22064,1.45
22195,1.45
22112,4.25
22086,2.0
84926B,1.25
21464,4.25
20668,0.1
22340,1.65
21009,1.25
21216,4.25
84562B,7.95
22198,1.65
21558,2.55
75049L,1.25
21192,1.65
22148,1.95
22144,2.1
84078A,34.95
20780,4.65
20772,2.55
21709,4.95
22278,4.95
84925E,2.55
84925A,2.55
21739,2.95
21329,1.65
21328,1.65
47503F,1.65
90042B,2.55
90042A,2.55
84989A,0.55
84279B,3.75
21033,2.95
20865,2.1
85113,2.1
85107,2.55
20976,0.65
85049F,1.25
20991,0.65
20761,3.75
85170C,2.1
85039B,1.65
21078,0.85
21981,0.29
21647,2.1
17109A,1.69
17109C,1.69
20998,2.95
21645,1.65
21026,1.25
22198,1.45
79328,0.38
22344,0.85
22346,0.85
22345,0.85
22343,0.85
17084R,0.21
21838,5.45
21983,0.29
85135A,7.95
85135B,7.95
79191C,0.85
72796A,1.65
72796B,1.65
85035C,4.25
85035A,4.25
20869,1.25
79190B,0.42
90214S,1.25
90214J,1.25
16258B,0.42
20986,1.25
20985,1.25
37348,2.55
72817,1.25
22279,2.1
21557,2.95
21992,2.95
18097B,2.55
85221,1.25
84526,1.95
22096,1.25
85088,2.1
37474,9.95
21933,2.95
21932,2.95
84532B,5.95
21249,2.95
21935,1.65
85183A,3.75
21163,1.45
21663,5.95
72811,1.49
22175,2.95
22176,2.95
84327A,1.69
22147,1.25
84802B,1.69
84597C,1.25
84520D,0.85
84925C,2.55
82552,1.25
21609,2.95
21102,2.55
20621,2.1
21312,6.75
20714,1.25
84926C,1.25
21617,3.75
22123,5.95
22313,4.95
82616C,2.95
20686,3.25
21253,2.95
72803A,4.25
47580,2.55
35599B,8.49
37501,6.95
84968E,12.75
84660C,3.75
79065A,9.95
37476,9.95
71053,3.75
22354,3.75
84623,7.95
21527,6.95
84619,45.95
21628,14.95
35004C,5.45
79321,4.95
79320,4.95
85061W,0.85
22227,0.65
84405A,12.75
21729,3.25
20889,2.95
21327,1.65
21425,2.95
21614,2.95
21135,1.69
82494L,2.55
82482,2.1
21106,2.55
20668,0.12
21007,1.45
79329,1.65
20765,3.75
22208,1.65
35931,1.95
85103,6.75
84031A,4.65
22135,0.42
21115,6.75
82615,2.95
82616A,2.95
16012,0.21
84249D,0.42
22200,4.25
22202,3.75
85071B,0.38
11001,1.69
79192A,1.25
22046,0.42
17033,0.29
21883,0.65
21882,0.65
21884,0.65
21881,0.65
21880,0.65
79336,1.65
22331,1.65
21012,2.1
85097B,3.75
21330,1.65
85111,1.25
21507,0.42
22157,0.85
84952C,3.75
21519,0.42
21518,0.42
84600,7.95
84510C,1.25
17109B,1.69
20669,1.25
21681,9.95
84828,1.25
10138,0.42
35981C,1.25
84510F,1.25
20736,0.85
35961,0.85
85162C,1.95
17129D,0.85
47579,2.1
21337,2.95
72484,1.25
37494A,2.55
22335,0.55
20906,2.95
85032A,2.1
85018D,2.55
84708B,4.95
21391,2.1
90035C,10.75
90082A,6.35
21077,0.85
90035B,8.49
21694,2.95
79163,1.65
72779,1.69
85230G,0.29
72024U,0.21
21732,3.75
82001S,3.75
84969,4.25
22309,2.55
21559,2.55
21973,1.45
35918B,1.25
85032D,2.1
20990,1.95
35914,2.1
21679,0.85
47590A,5.45
35610B,1.25
21820,3.75
85164B,12.75
85168B,9.95
85168A,9.95
21924,7.95
84795E,7.95
21937,2.95
22047,0.42
21251,2.95
21676,0.85
85226A,0.55
78056,9.95
22215,7.65
22218,3.75
21146,1.65
22088,2.55
21186,1.45
20940,2.55
22084,2.95
85177,0.85
22097,1.25
90125E,2.1
90129B,2.95
21552,5.95
85136A,7.95
84874B,1.65
72754D,1.69
20818,3.75
18007,0.18
21725,0.85
85185C,2.95
21551,5.95
85040B,1.65
84497,3.75
84625C,2.95
47592A,2.1
47593B,1.25
21158,1.45
21173,1.65
47420,0.19
22170,6.75
37506,5.95
37508,2.55
22129,0.85
21632,12.75
47503G,1.25
84620,5.95
22341,1.65
22342,1.65
72818,0.85
35793,2.95
21256,1.45
48129,5.95
48187,5.95
90148,12.75
90139,4.95
90203,7.5
90180A,9.95
90147,9.95
90155,7.5
84688,4.25
21390,1.25
35809B,2.1
35810B,2.1
90214A,1.25
22061,9.95
21972,1.45
21211,1.45
90002E,3.75
90002B,3.75
90002D,3.75
90002C,3.75
90175D,8.95
90190A,2.95
90072,3.75
90073,4.95
84347,2.1
84535A,0.65
47570,10.65
84247K,2.95
21704,0.85
21468,3.75
85185F,2.95
21655,1.69
47556,2.55
72802A,4.25
22210,1.65
84558A,2.95
20980,1.25
84818,2.55
21350,2.95
21010,1.25
71038,5.45
21291,0.85
21873,1.25
21872,1.25
21874,1.25
72598,0.85
79342B,5.45
21354,1.25
21358,1.25
21262,16.95
16202B,5.55
20905,6.35
35965,2.95
46775B,16.95
47578A,0.85
85151,1.25
20693,4.25
84705D,4.65
21665,0.65
84247J,2.95
35241,4.95
84971S,0.85
21494,2.55
22265,0.65
79030G,1.65
79030A,1.65
21171,1.45
85129C,1.25
21384,0.85
21388,0.85
21444,3.75
84705A,4.65
85163A,12.75
85165,9.95
35004P,5.45
85166A,3.75
84705F,4.65
22054,1.65
21613,2.95
84690,7.95
22121,5.45
20886,1.65
21282,3.75
72351A,2.1
85114C,1.65
21193,2.1
85080,1.25
35603C,2.1
37502,2.55
47591C,1.65
21824,1.45
21823,1.45
21803,0.42
20793,6.75
85031C,4.95
79160,2.1
20620,2.1
84750B,1.95
84765,12.75
21846,4.95
72800A,2.55
35471A,1.25
47563A,3.75
20783,5.49
20780,5.49
21267,2.1
85031A,4.95
82553,1.65
21944,0.85
37477B,3.75
85025C,1.65
37464,1.25
35911A,2.1
21348,2.95
82011B,3.75
85033G,1.95
20618,2.1
85185B,2.95
20934,5.45
35599D,2.95
84949,1.45
21555,2.55
22260,0.85
37327,1.69
84875A,3.75
35821P,2.95
18098C,2.95
62018,1.95
22220,9.95
90129C,2.95
35653,2.95
37461,1.25
20988,1.95
84572,8.49
17084N,0.21
21011,1.45
20950,1.25
21550,5.95
47569,2.55
17084G,0.21
10080,0.85
21849,4.95
21851,4.95
20871,1.25
21118,1.25
35751D,0.19
35968,0.38
72038P,0.08
72750A,1.95
82616C,1.25
35015,0.06
90014C,9.95
21262,2.95
20819,1.25
16202E,1.95
16201B,1.95
16201A,1.95
20696,3.75
85089,2.95
35751C,0.19
40046A,1.25
22182,4.95
22183,6.75
16202C,1.95
84402D,0.85
85221,0.38
85224,0.38
22271,2.55
22078,1.85
22082,1.45
22149,2.1
22294,1.06
20914,2.55
35961,0.72
22337,0.55
22131,1.65
22336,0.55
21681,8.5
21841,3.75
21531,2.1
21432,5.45
21243,1.45
84836,1.06
21077,0.64
22273,2.55
85007,1.65
72739B,0.65
85111,0.29
22314,4.95
22311,4.95
21076,0.85
37494A,2.95
22059,1.49
84569D,1.25
22209,1.65
21402,0.42
21403,0.42
21285,2.1
21134,1.65
20871,2.1
17136A,0.08
35471D,1.25
21144,1.45
22177,9.95
21589,2.1
82607A,1.25
82607E,1.25
82607C,1.25
72369A,1.25
72351B,2.1
22228,0.85
21438,3.75
22270,3.75
22284,1.65
48189,5.95
79000,0.85
85017A,0.85
22129,0.72
72807C,4.25
85112,0.5
21206,1.65
21203,1.65
21188,2.95
85179C,4.65
85179A,4.65
85180B,4.65
85180A,4.65
21123,1.25
85185E,2.95
85185D,2.95
22166,7.95
21773,1.25
79164,1.45
16169M,0.42
21629,7.95
84884A,3.39
21769,79.95
22084,2.55
21666,0.55
21696,2.95
21693,2.95
21687,3.75
21688,2.95
21651,1.65
84993B,0.42
85040A,1.65
90083,0.85
16215,0.65
21380,2.95
84029G,3.39
22125,4.95
21185,6.35
21294,1.25
21145,1.25
15039,0.85
84627,5.95
21648,1.25
21276,6.95
35832,5.95
21106,2.95
22310,1.65
22308,2.55
21620,3.75
21690,3.75
84537B,0.42
22033,0.42
22032,0.42
16161M,0.42
21450,5.95
84763,1.25
35810A,2.1
35809A,2.1
35811A,2.1
21157,2.1
84569C,1.25
21110,6.75
21054,8.95
21056,8.95
20702,4.25
21303,14.75
22133,0.85
22132,0.85
21914,1.25
82605,2.1
85131A,1.25
21657,6.95
85078,0.65
84745A,0.42
84745B,0.42
22292,1.45
22287,1.65
22286,1.65
20878,1.25
21284,1.69
84882,3.75
84519B,2.95
84519A,2.95
21936,2.95
21427,2.1
22332,1.65
21626,1.95
22100,1.25
22053,1.25
79026B,1.25
10109,0.42
21910,1.65
37345,1.95
22204,3.75
82613A,1.25
82613B,1.25
82613C,1.25
84509G,3.75
21564,2.95
84687,5.95
84902,3.75
21981,0.25
21967,0.25
21984,0.25
21980,0.25
21153,10.65
21536,2.1
90214C,1.25
90214D,1.25
35953,1.25
35951,1.25
37422,0.85
21127,5.95
21306,2.1
21187,1.65
85083,2.55
21610,2.95
85152,1.69
82600,1.69
82599,2.1
37333,4.95
84989B,0.55
37423,0.85
79321,4.25
72799A,2.55
85038,1.85
85173,2.1
22090,2.55
21644,1.25
21643,1.25
21491,1.65
35824C,1.49
35817B,2.55
84875D,3.75
46000U,1.25
15056BL,3.0
20679,3.0
85014B,3.0
85014A,3.0
85014D,3.0
85014C,3.0
15059A,3.0
15056P,3.0
15056N,3.0
84255B,2.1
46776F,4.95
15060B,3.75
84912B,2.0
84912A,2.0
84922,2.0
21000,2.0
21205,2.55
90190B,2.95
90178A,11.95
90019C,4.95
90024C,8.5
90011B,2.95
90012B,9.95
85023B,2.55
84937,2.1
21509,0.42
82483,4.95
82486,6.95
79190D,0.42
79190A,0.42
22041,2.55
85114B,1.65
21116,4.95
85065,12.75
21000,4.25
10134,1.25
21279,2.55
21051,2.1
72803B,4.25
47592B,2.1
84548,1.65
84676,2.95
16015,0.5
35004P,4.65
85098B,3.75
20764,3.75
84706B,8.95
35004G,6.35
22334,1.65
37441,2.1
20893,2.55
22074,1.65
22078,2.1
20733,0.85
22150,1.65
21524,5.95
85044,4.25
85047,5.55
37370,1.06
20819,3.75
21682,4.95
21392,2.1
21314,1.85
35958,0.85
84725,4.25
84721,12.75
21506,0.42
72045D,1.69
84247G,0.42
22057,1.49
84581,3.75
79338,1.65
21728,12.75
21323,4.25
21324,2.95
21341,4.65
21667,16.95
21055,8.95
21288,2.95
22098,1.25
47562,3.75
85136B,7.95
22291,1.45
84906,5.95
21389,0.85
